type,value
variable 1,3
variable 1,10
variable 1,6
variable 1,0
variable 1,3
variable 1,13
variable 1,8
variable 1,9
variable 1,5
variable 1,2
variable 1,5
variable 1,2
variable 2,22
variable 2,20
variable 2,15
variable 2,14
variable 2,15
variable 2,13
variable 2,30
variable 2,24
variable 2,13
variable 2,15
variable 2,13
variable 2,20
variable 3,70
variable 3,70
variable 3,75
variable 3,74
variable 3,69
variable 3,68
variable 3,74
variable 3,75
variable 3,68
variable 3,68
variable 3,64
variable 3,75
variable 4,163
variable 4,167
variable 4,166
variable 4,174
variable 4,152
variable 4,155
variable 4,145
variable 4,170
variable 4,157
variable 4,174
variable 4,165
variable 4,156
